company_names,ratings,reviews_count,salary_count,interview_count,jobs_count,company_sector,locations,benefits_count,page_num
Zetwerk,4.0,1.1k,3.9k,112,32,Industrial Machinery,Bengaluru +120 other locations,54,46
MDIndia Health Insurance TPA,3.6,1.1k,3.7k,69,48,Insurance,Pune +94 other locations,84,46
HFCL Limited,3.7,1.1k,4.1k,81,19,Telecom,Hyderabad +111 other locations,88,46
Bajaj Motors,3.9,1.1k,3.3k,68,--,Auto Components,Gurugram +90 other locations,109,46
Federal Bank,3.6,1.1k,5.6k,120,--,Banking,Mumbai +150 other locations,71,46
Schaeffler India,4.0,1.1k,5.4k,64,10,Auto Components,Vadodara +27 other locations,106,46
Aparna Constructions and Estates,3.9,1.1k,3.9k,112,37,Real Estate,Hyderabad +21 other locations,94,47
Birla Corporation,4.1,1.1k,3.7k,73,1,Building Material,Satna +143 other locations,83,47
Prism Johnson,3.7,1.1k,4.4k,68,--,Building Material,Mumbai +145 other locations,62,47
CaratLane - A Tata Product,4.0,1.1k,2.9k,67,89,Jewellery,Chennai +87 other locations,78,47
Sri Chaitanya Techno Schools,3.4,1.1k,3.4k,73,--,Education & Training,Bengaluru +164 other locations,1,47
Meril,3.6,1.1k,4.7k,85,46,Medical Equipment,Vapi +82 other locations,72,47
Indira IVF Hospital,4.0,1.1k,2.9k,76,60,Healthcare,Mumbai +105 other locations,74,47
Dhoot Transmission,3.7,1.1k,3.9k,66,15,Auto Components,Chhatrapati Sambhajinagar +42 other locations,107,47
NxtWave,3.4,1.1k,2.9k,248,179,EdTech,Hyderabad +52 other locations,13,47
Biocon Biologics,3.7,1.1k,6.5k,108,3,Biotechnology,Bengaluru +27 other locations,351,47
Edelweiss Life Insurance,3.7,1.1k,3.7k,58,35,Insurance,Mumbai +123 other locations,93,47
London Stock Exchange Group,3.7,1.1k,10.5k,155,28,Financial Services,Bengaluru +11 other locations,52,47
Imperial Auto Industries,3.8,1.1k,4.7k,77,4,Auto Components,Faridabad +38 other locations,66,47
INDO-MIM,4.0,1.1k,4.2k,76,7,Metals & Mining,Bengaluru +34 other locations,114,47
Aptiv,3.5,1.1k,8k,123,11,Auto Components,Bengaluru +26 other locations,47,47
Piaggio,3.6,1.1k,3.8k,72,4,Automobile,Pune +82 other locations,123,47
Wistron,4.0,1.1k,5.2k,93,--,Electronics Manufacturing,Bengaluru +22 other locations,131,47
